figure	result_section	provisional_heading
Figure1	Result 1	A single-cell transcriptomic atlas reveals the cellular landscape of chordoma
Figure2	Result 2	Intercellular communication analysis identifies macrophages and T cells as key interaction partners in the chordoma microenvironment
Figure3	Result 3	Pending final section heading
Figure4	Result 4	Identification of macrophages/T cells subgroups with different developmental stages and prognostic associations
Figure5	Result 5	Constructing a reference cell matrix for chordoma deconvolution to predict tumor pathological subtype and associated prognosis
